Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Long,PivRevLE,2022-02-21 00:51,38473.83,1,623.34,1.62,623.34,0.62,923.80,2.4,0,0
1,Exit Long,PivRevSE,2022-02-21 02:24,39097.17,1,623.34,1.62,623.34,0.62,923.80,2.4,0,0
2,Entry Short,PivRevSE,2022-02-21 02:24,39097.17,1,-105.09,-0.27,518.25,-0.1,32.47,0.08,105.09,0.27
2,Exit Short,PivRevLE,2022-02-21 02:48,39202.26,1,-105.09,-0.27,518.25,-0.1,32.47,0.08,105.09,0.27
3,Entry Long,PivRevLE,2022-02-21 02:48,39202.26,1,-47.72,-0.12,470.53,-0.05,73.59,0.19,88.58,0.23
3,Exit Long,PivRevSE,2022-02-21 03:30,39154.54,1,-47.72,-0.12,470.53,-0.05,73.59,0.19,88.58,0.23
4,Entry Short,PivRevSE,2022-02-21 03:30,39154.54,1,109.71,0.28,580.24,0.11,320.73,0.82,0,0
4,Exit Short,PivRevLE,2022-02-21 04:15,39044.83,1,109.71,0.28,580.24,0.11,320.73,0.82,0,0
5,Entry Long,PivRevLE,2022-02-21 04:15,39044.83,1,211.84,0.54,792.08,0.21,449.28,1.15,72.75,0.19
5,Exit Long,PivRevSE,2022-02-21 05:48,39256.67,1,211.84,0.54,792.08,0.21,449.28,1.15,72.75,0.19
6,Entry Short,PivRevSE,2022-02-21 05:48,39256.67,1,-31.01,-0.08,761.07,-0.03,76.67,0.2,47.82,0.12
6,Exit Short,PivRevLE,2022-02-21 06:33,39287.68,1,-31.01,-0.08,761.07,-0.03,76.67,0.2,47.82,0.12
7,Entry Long,PivRevLE,2022-02-21 06:33,39287.68,1,-85.95,-0.22,675.12,-0.09,2.32,0.01,85.95,0.22
7,Exit Long,PivRevSE,2022-02-21 07:03,39201.73,1,-85.95,-0.22,675.12,-0.09,2.32,0.01,85.95,0.22
8,Entry Short,PivRevSE,2022-02-21 07:03,39201.73,1,-81.50,-0.21,593.62,-0.08,108.12,0.28,81.50,0.21
8,Exit Short,PivRevLE,2022-02-21 07:45,39283.23,1,-81.50,-0.21,593.62,-0.08,108.12,0.28,81.50,0.21
9,Entry Long,PivRevLE,2022-02-21 07:45,39283.23,1,-124.41,-0.32,469.21,-0.12,112.36,0.29,124.41,0.32
9,Exit Long,PivRevSE,2022-02-21 08:33,39158.82,1,-124.41,-0.32,469.21,-0.12,112.36,0.29,124.41,0.32
10,Entry Short,PivRevSE,2022-02-21 08:33,39158.82,1,1440.73,3.68,1909.94,1.43,1958.80,5,25.43,0.06
10,Exit Short,PivRevLE,2022-02-21 13:15,37718.09,1,1440.73,3.68,1909.94,1.43,1958.80,5,25.43,0.06
11,Entry Long,PivRevLE,2022-02-21 13:15,37718.09,1,1046.54,2.77,2956.48,1.03,1586.05,4.21,368.09,0.98
11,Exit Long,PivRevSE,2022-02-21 16:57,38764.63,1,1046.54,2.77,2956.48,1.03,1586.05,4.21,368.09,0.98
12,Entry Short,PivRevSE,2022-02-21 16:57,38764.63,1,530.67,1.37,3487.15,0.52,1202.04,3.1,91.10,0.24
12,Exit Short,PivRevLE,2022-02-21 20:03,38233.96,1,530.67,1.37,3487.15,0.52,1202.04,3.1,91.10,0.24
13,Entry Long,PivRevLE,2022-02-21 20:03,38233.96,1,-110.95,-0.29,3376.20,-0.11,229.94,0.6,266.68,0.7
13,Exit Long,PivRevSE,2022-02-21 21:09,38123.01,1,-110.95,-0.29,3376.20,-0.11,229.94,0.6,266.68,0.7
14,Entry Short,PivRevSE,2022-02-21 21:09,38123.01,1,575.88,1.51,3952.08,0.56,1312.29,3.44,271.78,0.71
14,Exit Short,PivRevLE,2022-02-21 22:45,37547.13,1,575.88,1.51,3952.08,0.56,1312.29,3.44,271.78,0.71
15,Entry Long,PivRevLE,2022-02-21 22:45,37547.13,1,-75.26,-0.2,3876.82,-0.07,231.02,0.62,75.26,0.2
15,Exit Long,PivRevSE,2022-02-21 23:12,37471.87,1,-75.26,-0.2,3876.82,-0.07,231.02,0.62,75.26,0.2
16,Entry Short,PivRevSE,2022-02-21 23:12,37471.87,1,300.94,0.8,4177.76,0.29,611.93,1.63,71.72,0.19
16,Exit Short,PivRevLE,2022-02-22 00:12,37170.93,1,300.94,0.8,4177.76,0.29,611.93,1.63,71.72,0.19
17,Entry Long,PivRevLE,2022-02-22 00:12,37170.93,1,-7.96,-0.02,4169.80,-0.01,175.69,0.47,212.55,0.57
17,Exit Long,PivRevSE,2022-02-22 01:03,37162.97,1,-7.96,-0.02,4169.80,-0.01,175.69,0.47,212.55,0.57
18,Entry Short,PivRevSE,2022-02-22 01:03,37162.97,1,-183.66,-0.49,3986.14,-0.18,266.73,0.72,183.66,0.49
18,Exit Short,PivRevLE,2022-02-22 01:39,37346.63,1,-183.66,-0.49,3986.14,-0.18,266.73,0.72,183.66,0.49
19,Entry Long,PivRevLE,2022-02-22 01:39,37346.63,1,-346.64,-0.93,3639.50,-0.33,115.70,0.31,346.64,0.93
19,Exit Long,PivRevSE,2022-02-22 02:21,36999.99,1,-346.64,-0.93,3639.50,-0.33,115.70,0.31,346.64,0.93
20,Entry Short,PivRevSE,2022-02-22 02:21,36999.99,1,373.69,1.01,4013.19,0.36,631.00,1.71,124.32,0.34
20,Exit Short,PivRevLE,2022-02-22 04:00,36626.30,1,373.69,1.01,4013.19,0.36,631.00,1.71,124.32,0.34
21,Entry Long,PivRevLE,2022-02-22 04:00,36626.30,1,-11.35,-0.03,4001.84,-0.01,192.24,0.52,50.25,0.14
21,Exit Long,PivRevSE,2022-02-22 04:57,36614.95,1,-11.35,-0.03,4001.84,-0.01,192.24,0.52,50.25,0.14
22,Entry Short,PivRevSE,2022-02-22 04:57,36614.95,1,-102.38,-0.28,3899.46,-0.1,49.29,0.13,102.38,0.28
22,Exit Short,PivRevLE,2022-02-22 05:21,36717.33,1,-102.38,-0.28,3899.46,-0.1,49.29,0.13,102.38,0.28
23,Entry Long,PivRevLE,2022-02-22 05:21,36717.33,1,-46.55,-0.13,3852.91,-0.04,547.73,1.49,46.55,0.13
23,Exit Long,PivRevSE,2022-02-22 06:27,36670.78,1,-46.55,-0.13,3852.91,-0.04,547.73,1.49,46.55,0.13
24,Entry Short,PivRevSE,2022-02-22 06:27,36670.78,1,-164.10,-0.45,3688.81,-0.16,58.20,0.16,164.10,0.45
24,Exit Short,PivRevLE,2022-02-22 06:36,36834.88,1,-164.10,-0.45,3688.81,-0.16,58.20,0.16,164.10,0.45
25,Entry Long,PivRevLE,2022-02-22 06:36,36834.88,1,-47.75,-0.13,3641.06,-0.05,174.05,0.47,47.75,0.13
25,Exit Long,PivRevSE,2022-02-22 07:15,36787.13,1,-47.75,-0.13,3641.06,-0.05,174.05,0.47,47.75,0.13
26,Entry Short,PivRevSE,2022-02-22 07:15,36787.13,1,-74.08,-0.2,3566.98,-0.07,243.92,0.66,74.08,0.2
26,Exit Short,PivRevLE,2022-02-22 07:45,36861.21,1,-74.08,-0.2,3566.98,-0.07,243.92,0.66,74.08,0.2
27,Entry Long,PivRevLE,2022-02-22 07:45,36861.21,1,193.96,0.53,3760.94,0.19,332.52,0.9,96.69,0.26
27,Exit Long,PivRevSE,2022-02-22 09:27,37055.17,1,193.96,0.53,3760.94,0.19,332.52,0.9,96.69,0.26
28,Entry Short,PivRevSE,2022-02-22 09:27,37055.17,1,-137.71,-0.37,3623.23,-0.13,5.75,0.02,137.71,0.37
28,Exit Short,PivRevLE,2022-02-22 09:33,37192.88,1,-137.71,-0.37,3623.23,-0.13,5.75,0.02,137.71,0.37
29,Entry Long,PivRevLE,2022-02-22 09:33,37192.88,1,372.93,1,3996.16,0.36,690.90,1.86,100.14,0.27
29,Exit Long,PivRevSE,2022-02-22 11:27,37565.81,1,372.93,1,3996.16,0.36,690.90,1.86,100.14,0.27
30,Entry Short,PivRevSE,2022-02-22 11:27,37565.81,1,-125.20,-0.33,3870.96,-0.12,135.21,0.36,125.20,0.33
30,Exit Short,PivRevLE,2022-02-22 11:48,37691.01,1,-125.20,-0.33,3870.96,-0.12,135.21,0.36,125.20,0.33
31,Entry Long,PivRevLE,2022-02-22 11:48,37691.01,1,-260.42,-0.69,3610.54,-0.25,29.30,0.08,260.42,0.69
31,Exit Long,PivRevSE,2022-02-22 12:00,37430.59,1,-260.42,-0.69,3610.54,-0.25,29.30,0.08,260.42,0.69
32,Entry Short,PivRevSE,2022-02-22 12:00,37430.59,1,-289.73,-0.77,3320.81,-0.28,129.59,0.35,289.73,0.77
32,Exit Short,PivRevLE,2022-02-22 12:15,37720.32,1,-289.73,-0.77,3320.81,-0.28,129.59,0.35,289.73,0.77
33,Entry Long,PivRevLE,2022-02-22 12:15,37720.32,1,-258.99,-0.69,3061.82,-0.25,68.63,0.18,258.99,0.69
33,Exit Long,PivRevSE,2022-02-22 13:15,37461.33,1,-258.99,-0.69,3061.82,-0.25,68.63,0.18,258.99,0.69
34,Entry Short,PivRevSE,2022-02-22 13:15,37461.33,1,-114.44,-0.31,2947.38,-0.11,119.74,0.32,114.44,0.31
34,Exit Short,PivRevLE,2022-02-22 13:36,37575.77,1,-114.44,-0.31,2947.38,-0.11,119.74,0.32,114.44,0.31
35,Entry Long,PivRevLE,2022-02-22 13:36,37575.77,1,-109.63,-0.29,2837.75,-0.11,399.80,1.06,109.63,0.29
35,Exit Long,PivRevSE,2022-02-22 14:33,37466.14,1,-109.63,-0.29,2837.75,-0.11,399.80,1.06,109.63,0.29
36,Entry Short,PivRevSE,2022-02-22 14:33,37466.14,1,-412.77,-1.1,2424.98,-0.4,3.81,0.01,412.77,1.1
36,Exit Short,PivRevLE,2022-02-22 14:45,37878.91,1,-412.77,-1.1,2424.98,-0.4,3.81,0.01,412.77,1.1
37,Entry Long,PivRevLE,2022-02-22 14:45,37878.91,1,36.78,0.1,2461.76,0.04,460.57,1.22,30.89,0.08
37,Exit Long,PivRevSE,2022-02-22 15:39,37915.69,1,36.78,0.1,2461.76,0.04,460.57,1.22,30.89,0.08
38,Entry Short,PivRevSE,2022-02-22 15:39,37915.69,1,104.88,0.28,2566.64,0.1,414.69,1.09,42.88,0.11
38,Exit Short,PivRevLE,2022-02-22 16:48,37810.81,1,104.88,0.28,2566.64,0.1,414.69,1.09,42.88,0.11
39,Entry Long,PivRevLE,2022-02-22 16:48,37810.81,1,-309.82,-0.82,2256.82,-0.3,55.38,0.15,309.82,0.82
39,Exit Long,PivRevSE,2022-02-22 17:15,37500.99,1,-309.82,-0.82,2256.82,-0.3,55.38,0.15,309.82,0.82
40,Entry Short,PivRevSE,2022-02-22 17:15,37500.99,1,-185.53,-0.49,2071.29,-0.18,100.99,0.27,185.53,0.49
40,Exit Short,PivRevLE,2022-02-22 17:51,37686.52,1,-185.53,-0.49,2071.29,-0.18,100.99,0.27,185.53,0.49
41,Entry Long,PivRevLE,2022-02-22 17:51,37686.52,1,-122.80,-0.33,1948.49,-0.12,113.48,0.3,122.80,0.33
41,Exit Long,PivRevSE,2022-02-22 18:27,37563.72,1,-122.80,-0.33,1948.49,-0.12,113.48,0.3,122.80,0.33
42,Entry Short,PivRevSE,2022-02-22 18:27,37563.72,1,-236.29,-0.63,1712.20,-0.23,7.18,0.02,236.29,0.63
42,Exit Short,PivRevLE,2022-02-22 18:36,37800.01,1,-236.29,-0.63,1712.20,-0.23,7.18,0.02,236.29,0.63
43,Entry Long,PivRevLE,2022-02-22 18:36,37800.01,1,170.80,0.45,1883.00,0.17,505.22,1.34,174.01,0.46
43,Exit Long,PivRevSE,2022-02-22 20:39,37970.81,1,170.80,0.45,1883.00,0.17,505.22,1.34,174.01,0.46
44,Entry Short,PivRevSE,2022-02-22 20:39,37970.81,1,-99.62,-0.26,1783.38,-0.1,163.63,0.43,99.62,0.26
44,Exit Short,PivRevLE,2022-02-22 21:30,38070.43,1,-99.62,-0.26,1783.38,-0.1,163.63,0.43,99.62,0.26
45,Entry Long,PivRevLE,2022-02-22 21:30,38070.43,1,-133.54,-0.35,1649.84,-0.13,0,0,133.54,0.35
45,Exit Long,PivRevSE,2022-02-22 21:33,37936.89,1,-133.54,-0.35,1649.84,-0.13,0,0,133.54,0.35
46,Entry Short,PivRevSE,2022-02-22 21:33,37936.89,1,-41.88,-0.11,1607.96,-0.04,154.43,0.41,96.49,0.25
46,Exit Short,PivRevLE,2022-02-22 23:06,37978.77,1,-41.88,-0.11,1607.96,-0.04,154.43,0.41,96.49,0.25
47,Entry Long,PivRevLE,2022-02-22 23:06,37978.77,1,209.34,0.55,1817.30,0.21,485.11,1.28,22.55,0.06
47,Exit Long,PivRevSE,2022-02-23 00:30,38188.11,1,209.34,0.55,1817.30,0.21,485.11,1.28,22.55,0.06
48,Entry Short,PivRevSE,2022-02-23 00:30,38188.11,1,3.17,0.01,1820.47,0,228.30,0.6,59.18,0.15
48,Exit Short,PivRevLE,2022-02-23 02:12,38184.94,1,3.17,0.01,1820.47,0,228.30,0.6,59.18,0.15
49,Entry Long,PivRevLE,2022-02-23 02:12,38184.94,1,-225.14,-0.59,1595.33,-0.22,47.35,0.12,225.14,0.59
49,Exit Long,PivRevSE,2022-02-23 02:24,37959.80,1,-225.14,-0.59,1595.33,-0.22,47.35,0.12,225.14,0.59
50,Entry Short,PivRevSE,2022-02-23 02:24,37959.80,1,202.47,0.53,1797.80,0.2,407.50,1.07,0,0
50,Exit Short,PivRevLE,2022-02-23 03:24,37757.33,1,202.47,0.53,1797.80,0.2,407.50,1.07,0,0
51,Entry Long,PivRevLE,2022-02-23 03:24,37757.33,1,120.70,0.32,1918.50,0.12,388.12,1.03,35.72,0.09
51,Exit Long,PivRevSE,2022-02-23 05:21,37878.03,1,120.70,0.32,1918.50,0.12,388.12,1.03,35.72,0.09
52,Entry Short,PivRevSE,2022-02-23 05:21,37878.03,1,-141.07,-0.37,1777.43,-0.14,26.55,0.07,141.07,0.37
52,Exit Short,PivRevLE,2022-02-23 05:57,38019.10,1,-141.07,-0.37,1777.43,-0.14,26.55,0.07,141.07,0.37
53,Entry Long,PivRevLE,2022-02-23 05:57,38019.10,1,27.87,0.07,1805.30,0.03,166.15,0.44,7.88,0.02
53,Exit Long,PivRevSE,2022-02-23 06:42,38046.97,1,27.87,0.07,1805.30,0.03,166.15,0.44,7.88,0.02
54,Entry Short,PivRevSE,2022-02-23 06:42,38046.97,1,-101.16,-0.27,1704.14,-0.1,92.08,0.24,101.16,0.27
54,Exit Short,PivRevLE,2022-02-23 07:36,38148.13,1,-101.16,-0.27,1704.14,-0.1,92.08,0.24,101.16,0.27
55,Entry Long,PivRevLE,2022-02-23 07:36,38148.13,1,710.95,1.86,2415.09,0.7,873.32,2.29,38.97,0.1
55,Exit Long,PivRevSE,2022-02-23 10:48,38859.08,1,710.95,1.86,2415.09,0.7,873.32,2.29,38.97,0.1
56,Entry Short,PivRevSE,2022-02-23 10:48,38859.08,1,-87.15,-0.22,2327.94,-0.09,64.23,0.17,87.15,0.22
56,Exit Short,PivRevLE,2022-02-23 11:27,38946.23,1,-87.15,-0.22,2327.94,-0.09,64.23,0.17,87.15,0.22
57,Entry Long,PivRevLE,2022-02-23 11:27,38946.23,1,-151.39,-0.39,2176.55,-0.15,215.87,0.55,151.39,0.39
57,Exit Long,PivRevSE,2022-02-23 11:57,38794.84,1,-151.39,-0.39,2176.55,-0.15,215.87,0.55,151.39,0.39
58,Entry Short,PivRevSE,2022-02-23 11:57,38794.84,1,-105.16,-0.27,2071.39,-0.1,19.64,0.05,105.16,0.27
58,Exit Short,PivRevLE,2022-02-23 12:18,38900.00,1,-105.16,-0.27,2071.39,-0.1,19.64,0.05,105.16,0.27
59,Entry Long,PivRevLE,2022-02-23 12:18,38900.00,1,70.55,0.18,2141.94,0.07,403.24,1.04,30.83,0.08
59,Exit Long,PivRevSE,2022-02-23 13:51,38970.55,1,70.55,0.18,2141.94,0.07,403.24,1.04,30.83,0.08
60,Entry Short,PivRevSE,2022-02-23 13:51,38970.55,1,-23.42,-0.06,2118.52,-0.02,157.04,0.4,61.80,0.16
60,Exit Short,PivRevLE,2022-02-23 14:39,38993.97,1,-23.42,-0.06,2118.52,-0.02,157.04,0.4,61.80,0.16
61,Entry Long,PivRevLE,2022-02-23 14:39,38993.97,1,-158.98,-0.41,1959.54,-0.16,24.50,0.06,158.98,0.41
61,Exit Long,PivRevSE,2022-02-23 14:48,38834.99,1,-158.98,-0.41,1959.54,-0.16,24.50,0.06,158.98,0.41
62,Entry Short,PivRevSE,2022-02-23 14:48,38834.99,1,166.37,0.43,2125.91,0.16,463.24,1.19,7.07,0.02
62,Exit Short,PivRevLE,2022-02-23 16:33,38668.62,1,166.37,0.43,2125.91,0.16,463.24,1.19,7.07,0.02
63,Entry Long,PivRevLE,2022-02-23 16:33,38668.62,1,-49.35,-0.13,2076.56,-0.05,125.38,0.32,79.50,0.21
63,Exit Long,PivRevSE,2022-02-23 17:30,38619.27,1,-49.35,-0.13,2076.56,-0.05,125.38,0.32,79.50,0.21
64,Entry Short,PivRevSE,2022-02-23 17:30,38619.27,1,1008.68,2.61,3085.24,0.99,1218.27,3.15,0,0
64,Exit Short,PivRevLE,2022-02-23 20:24,37610.59,1,1008.68,2.61,3085.24,0.99,1218.27,3.15,0,0
65,Entry Long,PivRevLE,2022-02-23 20:24,37610.59,1,-38.34,-0.1,3046.90,-0.04,129.42,0.34,38.34,0.1
65,Exit Long,PivRevSE,2022-02-23 20:48,37572.25,1,-38.34,-0.1,3046.90,-0.04,129.42,0.34,38.34,0.1
66,Entry Short,PivRevSE,2022-02-23 20:48,37572.25,1,-148.45,-0.4,2898.45,-0.14,7.55,0.02,148.45,0.4
66,Exit Short,PivRevLE,2022-02-23 21:12,37720.70,1,-148.45,-0.4,2898.45,-0.14,7.55,0.02,148.45,0.4
67,Entry Long,PivRevLE,2022-02-23 21:12,37720.70,1,-113.60,-0.3,2784.85,-0.11,100.45,0.27,113.60,0.3
67,Exit Long,PivRevSE,2022-02-23 21:39,37607.10,1,-113.60,-0.3,2784.85,-0.11,100.45,0.27,113.60,0.3
68,Entry Short,PivRevSE,2022-02-23 21:39,37607.10,1,-16.59,-0.04,2768.26,-0.02,457.90,1.22,16.59,0.04
68,Exit Short,PivRevLE,2022-02-23 22:36,37623.69,1,-16.59,-0.04,2768.26,-0.02,457.90,1.22,16.59,0.04
69,Entry Long,PivRevLE,2022-02-23 22:36,37623.69,1,-121.80,-0.32,2646.46,-0.12,109.18,0.29,121.80,0.32
69,Exit Long,PivRevSE,2022-02-23 23:09,37501.89,1,-121.80,-0.32,2646.46,-0.12,109.18,0.29,121.80,0.32
70,Entry Short,PivRevSE,2022-02-23 23:09,37501.89,1,119.67,0.32,2766.13,0.12,441.73,1.18,0,0
70,Exit Short,PivRevLE,2022-02-23 23:42,37382.22,1,119.67,0.32,2766.13,0.12,441.73,1.18,0,0
71,Entry Long,PivRevLE,2022-02-23 23:42,37382.22,1,-149.92,-0.4,2616.21,-0.15,61.91,0.17,259.48,0.69
71,Exit Long,PivRevSE,2022-02-24 00:27,37232.30,1,-149.92,-0.4,2616.21,-0.15,61.91,0.17,259.48,0.69
72,Entry Short,PivRevSE,2022-02-24 00:27,37232.30,1,270.97,0.73,2887.18,0.26,582.30,1.56,2.19,0.01
72,Exit Short,PivRevLE,2022-02-24 01:48,36961.33,1,270.97,0.73,2887.18,0.26,582.30,1.56,2.19,0.01
73,Entry Long,PivRevLE,2022-02-24 01:48,36961.33,1,-52.60,-0.14,2834.58,-0.05,112.87,0.31,52.60,0.14
73,Exit Long,PivRevSE,2022-02-24 02:27,36908.73,1,-52.60,-0.14,2834.58,-0.05,112.87,0.31,52.60,0.14
74,Entry Short,PivRevSE,2022-02-24 02:27,36908.73,1,1916.43,5.19,4751.01,1.86,2406.42,6.52,111.20,0.3
74,Exit Short,PivRevLE,2022-02-24 04:33,34992.30,1,1916.43,5.19,4751.01,1.86,2406.42,6.52,111.20,0.3
75,Entry Long,PivRevLE,2022-02-24 04:33,34992.30,1,-79.36,-0.23,4671.65,-0.08,228.16,0.65,79.36,0.23
75,Exit Long,PivRevSE,2022-02-24 05:06,34912.94,1,-79.36,-0.23,4671.65,-0.08,228.16,0.65,79.36,0.23
76,Entry Short,PivRevSE,2022-02-24 05:06,34912.94,1,93.45,0.27,4765.10,0.09,588.89,1.69,95.44,0.27
76,Exit Short,PivRevLE,2022-02-24 06:03,34819.49,1,93.45,0.27,4765.10,0.09,588.89,1.69,95.44,0.27
77,Entry Long,PivRevLE,2022-02-24 06:03,34819.49,1,-47.85,-0.14,4717.25,-0.05,270.90,0.78,147.40,0.42
77,Exit Long,PivRevSE,2022-02-24 07:03,34771.64,1,-47.85,-0.14,4717.25,-0.05,270.90,0.78,147.40,0.42
78,Entry Short,PivRevSE,2022-02-24 07:03,34771.64,1,-289.39,-0.83,4427.86,-0.28,394.83,1.14,289.39,0.83
78,Exit Short,PivRevLE,2022-02-24 07:45,35061.03,1,-289.39,-0.83,4427.86,-0.28,394.83,1.14,289.39,0.83
79,Entry Long,PivRevLE,2022-02-24 07:45,35061.03,1,298.23,0.85,4726.09,0.29,827.85,2.36,0,0
79,Exit Long,PivRevSE,2022-02-24 08:36,35359.26,1,298.23,0.85,4726.09,0.29,827.85,2.36,0,0
80,Entry Short,PivRevSE,2022-02-24 08:36,35359.26,1,-244.39,-0.69,4481.70,-0.23,90.21,0.26,244.39,0.69
80,Exit Short,PivRevLE,2022-02-24 08:51,35603.65,1,-244.39,-0.69,4481.70,-0.23,90.21,0.26,244.39,0.69
81,Entry Long,PivRevLE,2022-02-24 08:51,35603.65,1,-305.32,-0.86,4176.38,-0.29,206.42,0.58,305.32,0.86
81,Exit Long,PivRevSE,2022-02-24 10:00,35298.33,1,-305.32,-0.86,4176.38,-0.29,206.42,0.58,305.32,0.86
82,Entry Short,PivRevSE,2022-02-24 10:00,35298.33,1,127.08,0.36,4303.46,0.12,475.26,1.35,199.78,0.57
82,Exit Short,PivRevLE,2022-02-24 11:39,35171.25,1,127.08,0.36,4303.46,0.12,475.26,1.35,199.78,0.57
